id,isolate,aliases,country,continent,region,year,source,NCBI_BioProject,comments,sender,curator,date_entered,datestamp,FKS,LEU2,NMT1,TRP1,UGP1,URA3,ST (MLST)
1,ATCC 90030,SRR3146184; Y1644_ERR1938086,USA,North America,Iowa,,blood,,see database history for comment on Y1644_ERR1938086 (PMID 31059831),2,4,2016-02-05,2019-09-12,8,4,3,5,1,2,10
2,CE-01,,Switzerland,Europe,,,unknown,,,2,1,2016-02-05,2016-02-05,1,2,2,1,2,1,8
3,CE-02,,Switzerland,Europe,,,unknown,,,2,4,2016-02-05,2019-08-17,1,2,2,7,2,1,9
4,CE-03,,Belgium,Europe,,,faeces,,,2,4,2016-02-05,2019-08-17,5,7,8,1,3,6,5
5,CE-04,,Belgium,Europe,,,vaginal swab,,,2,1,2016-02-05,2016-02-05,3,4,4,3,3,4,7
6,CE-05,,Germany,Europe,,,oral swab,,,2,1,2016-02-05,2016-02-05,3,4,4,3,3,4,7
7,CE-06,,Germany,Europe,,,oral swab,,,2,1,2016-02-05,2016-02-05,2,5,7,5,1,2,6
8,CE-07,,Germany,Europe,,,oral swab,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
9,CE-08,,Germany,Europe,,,oral swab,,,2,1,2016-02-05,2016-02-05,2,5,7,5,1,2,6
10,CE-09,,Germany,Europe,,,oral swab,,,2,1,2016-02-05,2016-02-05,3,4,4,3,3,4,7
11,CE-10,,Germany,Europe,,,oral swab,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
12,CE-11,,Germany,Europe,,,oral swab,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
13,CE-12,,Belgium,Europe,,,anal swab,,Vaginitis Pt,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
14,CE-13,,Belgium,Europe,,,vaginal swab,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
15,CE-14,,Belgium,Europe,,,vaginal swab,,,2,1,2016-02-05,2016-02-05,2,5,7,5,1,2,6
16,CE-15,,Belgium,Europe,,,vaginal swab,,,2,1,2016-02-05,2016-02-05,3,4,4,3,3,4,7
17,CE-16,,Belgium,Europe,,,vaginal swab,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
18,CE-17,,Belgium,Europe,,,unknown,,,2,1,2016-02-05,2016-02-05,7,5,6,12,1,8,22
19,CE-18,,The Netherlands,Europe,,,blood,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
20,J-01,,Japan,Asia,,,oral swab,,,2,1,2016-02-05,2016-02-05,3,4,4,3,3,4,7
21,J-02,,Japan,Asia,,,oral swab,,,2,1,2016-02-05,2016-02-05,3,4,4,3,3,4,7
22,J-03,,Japan,Asia,,,blood,,,2,1,2016-02-05,2016-02-05,8,4,3,5,1,2,10
23,J-04,,Japan,Asia,,,blood,,,2,1,2016-02-05,2016-02-05,8,4,3,5,1,2,10
